N;AvoreAVL-Ordenada;AvoreAVL-Aleatoria;AvoreRubroNegra-Ordenada;AvoreRubroNegra-Aleatoria;ArvoreB-Ordenada-1;ArvoreB-Aleatoria-1;ArvoreB-Ordenada-5;ArvoreB-Aleatoria-5;ArvoreB-Ordenada-10;ArvoreB-Aleatoria-10;
1;3;1;0;0;9;4;9;4;9;4;
2;12;6;3;1;21;10;21;10;21;10;
3;33;13;15;8;42;20;36;18;36;16;
4;48;25;24;14;60;29;51;24;51;24;
5;75;28;39;22;90;43;69;31;69;33;
6;102;52;51;18;111;51;87;42;87;42;
7;129;62;69;31;150;67;105;50;105;49;
8;150;75;90;33;174;80;123;60;123;58;
9;183;72;108;44;210;96;144;67;144;68;
10;216;95;126;52;237;113;165;79;165;79;
11;249;109;147;54;285;129;192;90;186;88;
12;282;130;171;60;312;139;216;100;207;99;
13;315;155;192;80;351;162;240;115;228;108;
14;348;164;213;89;381;172;264;126;249;120;
15;381;180;237;81;438;185;291;138;270;126;
16;408;192;264;104;468;203;318;151;291;142;
17;447;201;288;110;510;219;354;160;315;149;
18;486;223;318;116;543;246;381;175;339;157;
19;525;242;342;122;597;265;408;186;363;175;
20;564;278;369;125;630;277;435;201;387;185;
21;603;285;393;150;675;300;465;220;417;196;
22;642;273;420;164;711;327;495;233;444;209;
23;681;318;447;151;777;333;534;246;471;221;
24;720;329;477;171;810;348;561;261;498;236;
25;759;336;504;176;855;366;588;274;525;246;
26;798;359;537;184;891;399;615;284;552;260;
27;837;361;564;209;948;420;645;294;579;274;
28;876;385;594;206;984;432;675;313;609;288;
29;915;402;621;221;1032;454;714;325;639;304;
30;954;432;651;239;1071;468;744;339;669;314;
31;993;457;681;240;1146;478;774;356;699;333;
32;1026;476;714;250;1182;492;804;373;738;344;
33;1071;482;744;242;1230;530;837;378;768;356;
34;1116;486;780;278;1269;536;870;403;798;369;
35;1161;526;810;295;1329;555;912;416;828;385;
36;1206;581;843;298;1368;585;942;423;858;398;
37;1251;549;873;302;1419;614;972;435;888;413;
38;1296;623;912;337;1461;641;1002;451;918;427;
39;1341;632;942;323;1533;640;1035;474;951;443;
40;1386;669;975;309;1572;675;1068;487;984;457;
41;1431;650;1005;372;1623;687;1110;505;1017;476;
42;1476;682;1041;353;1665;729;1140;512;1050;491;
43;1521;684;1071;369;1728;746;1170;532;1092;495;
44;1566;695;1104;378;1770;763;1200;544;1122;516;
45;1611;738;1134;395;1824;782;1233;563;1152;521;
46;1656;774;1170;384;1869;808;1266;574;1182;548;
47;1701;799;1203;439;1953;818;1308;593;1212;563;
48;1746;820;1239;419;1992;847;1338;603;1242;573;
49;1791;824;1272;438;2043;870;1368;617;1272;587;
50;1836;812;1311;451;2085;890;1398;636;1305;607;
51;1881;888;1344;445;2148;910;1431;653;1338;625;
52;1926;895;1380;468;2190;937;1464;665;1371;641;
53;1971;927;1413;495;2244;957;1506;677;1404;651;
54;2016;909;1455;499;2289;954;1539;704;1446;663;
55;2061;978;1488;521;2364;997;1572;706;1479;674;
56;2106;978;1524;471;2406;1027;1605;736;1512;692;
57;2151;1011;1557;520;2460;1053;1641;737;1545;704;
58;2196;995;1596;534;2505;1065;1677;758;1578;729;
59;2241;1020;1629;585;2571;1102;1722;759;1611;746;
60;2286;1064;1665;561;2616;1116;1755;794;1644;755;
61;2331;1133;1698;561;2673;1143;1788;806;1680;770;
62;2376;1059;1737;595;2721;1192;1821;820;1716;788;
63;2421;1104;1773;614;2814;1199;1857;836;1752;808;
64;2460;1167;1812;617;2856;1199;1893;851;1788;818;
65;2511;1212;1848;610;2910;1210;1938;867;1833;833;
66;2562;1190;1890;632;2955;1254;1971;886;1866;851;
67;2613;1258;1926;603;3021;1267;2004;899;1899;861;
68;2664;1258;1965;684;3066;1305;2037;902;1932;882;
69;2715;1216;2001;619;3123;1305;2073;943;1965;891;
70;2766;1310;2046;667;3171;1373;2109;950;1998;914;
71;2817;1283;2082;719;3249;1359;2160;965;2031;920;
72;2868;1345;2121;672;3294;1407;2196;968;2067;942;
73;2919;1378;2157;745;3351;1428;2232;996;2103;954;
74;2970;1354;2199;726;3399;1438;2268;1004;2139;975;
75;3021;1404;2235;740;3468;1447;2307;1023;2175;994;
76;3072;1431;2274;786;3516;1490;2346;1051;2220;1012;
77;3123;1471;2310;736;3576;1506;2394;1061;2253;1024;
78;3174;1457;2358;750;3627;1532;2430;1073;2286;1042;
79;3225;1510;2394;791;3717;1554;2466;1100;2319;1052;
80;3276;1480;2433;831;3762;1593;2502;1111;2352;1075;
81;3327;1537;2469;824;3819;1610;2541;1126;2385;1079;
82;3378;1607;2511;845;3867;1622;2580;1130;2418;1106;
83;3429;1605;2547;806;3936;1653;2628;1148;2454;1124;
84;3480;1615;2586;883;3984;1686;2664;1190;2490;1144;
85;3531;1628;2622;836;4044;1662;2700;1188;2526;1154;
86;3582;1694;2667;879;4095;1732;2736;1226;2562;1167;
87;3633;1710;2703;890;4176;1744;2775;1223;2607;1175;
88;3684;1715;2742;898;4224;1757;2814;1264;2640;1204;
89;3735;1716;2778;905;4284;1777;2862;1264;2673;1204;
90;3786;1757;2820;906;4335;1809;2901;1279;2706;1233;
91;3837;1800;2856;940;4407;1844;2940;1312;2739;1246;
92;3888;1795;2895;939;4458;1878;2979;1312;2772;1266;
93;3939;1798;2931;974;4521;1869;3021;1338;2805;1275;
94;3990;1817;2976;977;4575;1937;3063;1343;2841;1306;
95;4041;1867;3015;990;4677;1942;3114;1376;2877;1302;
96;4092;1901;3057;989;4722;1986;3153;1385;2913;1324;
97;4143;1936;3096;1037;4779;1972;3192;1401;2949;1353;
98;4194;1945;3141;1037;4827;2006;3231;1439;2994;1370;
99;4245;1973;3180;1040;4896;2046;3273;1443;3030;1388;
100;4296;1981;3222;1036;4944;2066;3315;1448;3066;1402;
